name,authorID
Carol Lloyd,1
Katherine DuncanJones,2
JR Ward,3
Frances J Roberts,4
Sam Harris,5
Bill Willingham,6
Jane Kenyon,7
Simon Cleveland,8
Linda Hall,9
Gregory Stephens,10
Phillip de ste Croix,11
Carla Lynn Stockton,12
Russell Evans,13
Stephen J Cannell,14
Ursula Ferrigno,15
David Bellos,16
Michael J Mauboussin,17
Francesca Lia Block,18
Stig Wemyss,19
Margaret Truman,20
Samuel Beckett,21
Nicolas Cage,22
Michael Grden,23
Ric Gonzlez,24
Kathleen DeGrave,25
Lawrence Schimel,26
Robert C OBrien,27
Paul Guyer,28
Chuck Hustmyre,29
Ruth Downie,30
Anthony Loyd,31
Ha Jin,32
David Ogilvy,33
Judith Viorst,34
Greg Keyes,35
Craig Raine,36
Peter Kent,37
Nadine Epstein,38
Thomas Lewis,39
Michael Avon Oeming,40
Ken Geist,41
Jo Ann Ooiman Robinson,42
Lauren Stringer,43
Robert M Durling,44
Peter Crowther,45
Walter Cronkite,46
Mark   Richardson,47
Ian Lemke,48
Robert Altman,49
Michael Winterbottom,50
Mark Strand,51
Tom Masters,52
Walter Foster Creative Team,53
Melody Carlson,54
Melinda Haynes,55
Carol Marinelli,56
Angela Barrett,57
Judith Chelius Stark,58
Paul Blackburn,59
Jan Frank,60
Inga Shirer Dean,61
Betina Ogden,62
Len Cariou,63
Philip Prowse,64
Patrick Sskind,65
Ann Patchett,66
Anthony Hern,67
Rolland Hein,68
Philip K Dick,69
Phyllis Reynolds Naylor,70
Phillip Margolin,71
Ronald Radano,72
Lauren Na,73
Linda Lael Miller,74
Elise Juska,75
Eric Pascarello,76
Rex Warner,77
Nikki Stafford,78
Glenn R Morrow,79
Christopher Flavin,80
Leon Edel,81
Mark Steyn,82
Alexandra Robbins,83
Frank McCourt,84
Chris Ryall,85
Walter Benjamin,86
Antonin Artaud,87
Christopher Schmitt,88
Roger Bollen,89
CM Kornbluth,90
Walter Jon Williams,91
India Edghill,92
Fred Kaplan,93
Deirdre Purcell,94
Mark  Hunter,95
Leslie What,96
Margaret Atwood,97
Ashley Gardner,98
Rick Barba,99
Hermann Hesse,100
Robert D Putnam,101
Ted Dekker,102
Donald Devenish Walsh,103
John Prevas,104
Francis Golffing,105
Peter Fraenkel,106
Larry Niven,107
Dorothea SheferVanson,108
Ul De Rico,109
W Haden Blackman,110
Judy Fitzwater,111
Marilyn Manson,112
Alfred J Church,113
Frieda Hughes,114
Lizzie Collingham,115
Jon Ronson,116
Arthur  Miller,117
Cheri Huber,118
Diane Johnson,119
Steve Erickson,120
Karen Kushner,121
Dick Francis,122
James Hillman,123
Anne Morrow Lindbergh,124
Esther Derby,125
Katherine Thanas,126
Lord Dunsany,127
Jim Carroll,128
William T Vetterling,129
JA Konrath,130
Frances Goodrich,131
Marcella Hazan,132
David West Reynolds,133
Elizabeth Gilbert,134
Tom Stoppard,135
Edwin Page,136
Carol DommermuthCosta,137
Nancy Sheehan,138
Lee Child,139
Anne Frank,140
Ciruelo Cabral,141
Melody Malmberg,142
David McClung,143
Eleanor Dwight,144
Matthew Sweet,145
George Ritzer,146
Hesiod,147
Margaret Cohen,148
Sheri S Tepper,149
Chuck Miller,150
Don DeLillo,151
Stephen Kessler,152
Susan  Griffith,153
Elizabeth  Gray,154
Don Perrin,155
Marian Keyes,156
Jeffery Deaver,157
David Bowie,158
David Ferring,159
Deborah Eisenberg,160
Delba Winthrop,161
James Kirkwood Jr,162
Buchi Emecheta,163
Elena N Mahlow,164
George Thibaut,165
EV Gordon,166
Stephen Becker,167
Robert Louis Stevenson,168
RL Wilson,169
Carol Lee,170
Paco Underhill,171
Florence Lamborn,172
Bill Moyers,173
Mark Musa,174
Roger D Dawe,175
Elizabeth Berg,176
Robert Paul Wolff,177
Ruby Blondell,178
John Dugdale,179
Kresley Cole,180
Natasha Pyne,181
Judy Grahn,182
Gary Oates,183
Michael J DeLuca,184
Maggie Gee,185
Maki Murakami,186
Rheta Grimsley Johnson,187
Frank Warren,188
Quentin W Fleming,189
Robert B Shaw,190
Robert Coles,191
John von Neumann,192
Marcelo Frusn,193
Rem Koolhaas,194
Chris Raschka,195
Deidre Shauna Lynch,196
Alan Rosenus,197
Steven Pressfield,198
John Nyberg,199
David Rakoff,200
Donald T Phillips,201
Eugne Ionesco,202
Dan Savage,203
Jerry B Jenkins,204
Debra Garrison,205
Michael Syvanen,206
Barney Tobey,207
Barry  Lopez,208
Liz Ireland,209
Jack Weatherford,210
Ron Marz,211
Theodore F Brunner,212
Gisela Stege,213
Peter Schaerer,214
Douglas E Winter,215
Peter J Gomes,216
