publisherID,name
1,McDougal Littel
2,Pavilion Press (Wi)
3,Boosey & Hawkes Inc
4,Norma
5,Grove Press  Granta
6,Council Press
7,Orion Publishing
8,Kabel  Verlag GmbH Ernst
9,Severn House
10,McSweeney's
11,Brookline Books
12,Academic Press
13,Golden/Disney
14,Tor Books
15,Crown Publishers
16,Hachette Littérature
17,Fleming H Revell Co
18,Literatura Random House
19,Ballantine
20,Open Heaven Publications
21,Montlake Romance
22,Modern Publishing
23,BenBella Books
24,Alyson Books
25,Viking Books
26,Emecé Editores
27,AudioText
28,Bloomsbury U.S.A. Children's Books
29,University Press of New England
30,Readers Digest.
31,Waking Lion Press
32,Putnam Publishing Group
33,Ember
34,Dragon Door Publications
35,Hqn
36,Sidran Press
37,Dark Horse Comics
38,Dante University of America Press
39,Dark Horse Books
40,Picador  Macmillan Publishers Ltd
41,Birlinn
42,Vintage Classics
43,Malhavoc Press
44,Folio
45,Sterling Children's Books
46,Penguin-HighBridge
47,National Park Service
48,Time Life Medical
49,Waterbrook Press
50,Schirmer Mosel
51,Plume (Penguin Books Ltd)
52,Harlequin American Romance
53,InterVarsity Press
54,The Overlook Press
55,Puzzle-Via Magna
56,Bantam Classic
57,Harlequin Romance
58,International Code Council
59,Turtleback Books Distributed by Demco Media
60,皇冠文化出版有限公司
61,Yoruba Theological Archministry
62,Ace Books
63,Avon Books (P)
64,Berkley Prime Crime
65,Dial Books
66,B.E.S. Publishing
67,Bantam
68,Headline Feature
69,Piemme
70,Watkins
71,Booklocker.com  Inc.
72,Hartley & Marks Publishers
73,Avon HarperCollins
74,Thames & Hudson Ltd
75,Plaza & Janés Mexico
76,Penguin Classics
77,William Morrow / HarperCollins / Harper Perennial
78,Maxima New Media
79,Random House  for Young Readers
80,London : Faber  2002
81,Punto de Lectura
82,Farrar  Straus & Giroux
83,Praeger
84,Heinemann
85,Games Workshop(uk)
86,Everyman Paperbacks
87,Grijalbo Mondadori Sa
88,Aurum
89,Picador
90,Holt McDougal
91,Orion Publishing Group
92,Simon Publications
93,The New Press
94,Everyman's Library Classics
95,Dedalus Limited
96,Longman Schools Division (a Pearson Education Company)
97,Bedford Books
98,Plaza & Janes Editores  S.A.
99,Record
100,HJ Kramer
101,Fourth Estate (GB)
102,Random House Large Print Publishing
103,TSR
104,Booket
105,Scholastic Paperbacks
106,Little  Brown and Company
107,British Film Institute
108,HarperOne
109,Roaring Brook Press
110,Yearling
111,Ecco
112,Faber and Faber & Penguin India
113,HarperAudio
114,Clarkson Potter
115,Grove Press
116,Penguin Book Limited
117,Insight International
118,Knopf Publishing Group
119,Wordsworth Classics
120,DK Publishing (Dorling Kindersley)
121,Byblos
122,Sinauer Associates
123,Ivan R. Dee
124,Blackstone Audiobooks
125,Candlewick Press
126,Hartorch
127,Xlibris Corporation
128,Villard Books
129,Schocken
130,Simon & Schuster Children's Publishing
131,Renaissance Books
132,New York Review Children's Collection
133,Dutton Books for Young Readers
134,Academica Press
135,Augsburg Fortress Publishing
136,Inner Light - Global Communications
137,Collection of Historical Scientific Instruments
138,Four Walls Eight Windows Press
139,William Heinemann Ltd.
140,Lübbe
141,Laurel Press
142,Penguin Books in association with Faber & Faber
143,Penguin Classics Deluxe Edition
144,HarperTorch (an imprint of HarperCollins Publishers)
145,Tom Doherty Tor Fantasy
146,Tyndale Momentum
147,McGraw-Hill/Glencoe
148,Harpperen
149,Rick Steves
150,Scribner
151,Canongate U.S.
152,ComicsOne Corporation
153,Puffin Audiobooks
154,Bollingen/Princeton University Press (NJ)
155,AHA! Process
156,Honor Books
157,Zeta Bolsillo
158,Carlton Publishing Group
159,Manchester University Press
160,Bloomsbury Publishing
161,Bantam Press
162,Pocket Star
163,Swallow Press
164,Marsilio Publishers
165,Rowohlt Tb.
166,Houghton Mifflin
167,Brilliance Audio
168,New Press (NY)
169,Phoenix
170,Townsend Press
171,Sams
172,Fellowship for the Performance
173,Audio Renaissance
174,Barnes & Noble Classics
175,Vida
176,Michael O'Mara
177,University of Wisconsin Press
178,John Wiley
179,Purple House Press
180,Harper Audio
181,Arden Shakespeare
182,Apress
183,University Press of Florida
184,Harcourt Brace & Company
185,Tommy Nelson
186,Jove
187,Titan
188,Harlequin Presents
189,De Boekerij
190,Woodrow Wilson Center Press / Johns Hopkins University Press
191,The Monacelli Press
192,Newmarket
193,Vertical
194,Pocket Books/Simon & Schuster (NY)
195,Elloras Cave
196,Cliffs Notes
197,Gotham
198,Dell
199,Cemetery Dance Publications
200,Penguin Books Ltd. (London)
201,Chosen Books
202,Perigee Trade
203,Triple Crown Publications
204,Delacorte Press
205,Hyperio
206,Random House UK Ltd (A Division of Random House Group)
207,Devil's Due Publishing
208,Storey Publishing  LLC
209,That Patchwork Place
210,Coronet
211,El Paso Norte Press
212,Pen & Sword Military
213,Zenith Press
214,Harlequin Blaze
215,Crystal Clarity Publishers
216,Northeastern University Press
217,Darton  Longman & Todd
218,Raintree
219,Greenwood Press
220,Rockport Publishers
221,Tom Doherty Associates
222,Pimsleur
223,Wipf & Stock Publishers
224,HarperCollins
225,National Geographic Society
226,Image Comics
227,Pantheon Books (NY)
228,Clarity Press
229,Oberon Books
230,Dutton Children's Books
231,Random House  Inc.
232,Mariner Books
233,Harcourt
234,MIT Press
235,Multnomah Books
236,Harper Paperbacks
237,Critica (Grijalbo Mondadori)
238,Andrews and McMeel
239,Evans Brothers
240,Adams Media
241,Plume
242,HarperTorch
243,Harlequin
244,Pomegranate Communications
245,Bantam Starfire
246,Weidenfeld & Nicolson
247,Yosemite Conservancy
248,Plexus Publishing
249,HarperSanFrancisco
250,Pygmalion Editions
251,Roc
252,Alfred A. Knopf Borzoi Books
253,Yesterday's Classics
254,Castle Books
255,Running Press
256,Mira Books
257,AK Press
258,Harvard University Press
259,Free Press
260,Inner City Books
261,Random House Inc.
262,rbooks
263,Hearst Communications
264,Dial Press
265,Serpent's Tail
266,Island
267,Capstone Press
268,Lasser Press
269,Totem Books
270,Phoenix Press
271,Fulcrum Publishing
272,TusQuets
273,Pelican Publishing
274,HarperCollins Publishers  Inc.
275,Steerforth Press
276,Puffin Books (Penguin Books)
277,Vanguard Press
278,McGraw-Hill Humanities/Social Sciences/Languages
279,Bookspan
280,Diogenes Verlag
281,Celestial Arts
282,DAW
283,Harper Perennial
284,Watkins Publishing
285,Sceptre
286,Zebra
287,Ivy Books
288,Grosset & Dunlap
289,Express Publishing
290,Oddysey/Harcourt Young Classics
291,Westholme Publishing
292,Praeger Publishers
293,Loyola Classics
294,Nonsuch Publishing
295,Smart Pop
296,Picture Book Studio Ltd
297,Redleaf Press
298,Porrua
299,Sutton
300,Plume Books
301,Bantam Spectra
302,Lerner Publications
303,Bristol Classical Press
304,Bantam Doubleday Dell Publishing Group
305,Waveland Press
306,Loeb Classical Library/Harvard University Press
307,Chelsea House Publications
308,Arrow Books
309,Berkley Trade
310,University Of Minnesota Press
311,Orb Books
312,DC Comics
313,Rivages
314,University of Texas Press (Austin/London)
315,Blu
316,Stanford University Press (Stanford  CA)
317,Univ Of Minnesota Press
318,Delta Publishing
319,New Directions Publishing
320,Presses de La Cite
321,Thomas Nelson
322,Bloomsbury
323,Lippincott Williams & Wilkins
324,Adamant Media Corporation
325,Houghton Mifflin Company
326,Bloomsbury Arden Shakespeare
327,Nymphenburger
328,O'Reilly Media
329,Daw Books
330,Nelson Thornes Ltd
331,Pearson Longman
332,Picador USA
333,Limelight Editions
334,Doubleday
335,Kensington Publishing Corporation
336,New English Library (Hodder & Stoughton)
337,MacMillan General Books
338,St. Martins Press
339,Livre de Poche
340,DAW Fantasy
341,Lodestar Books
342,Intercultural Publishing
343,A K PETERS
