   language_name    |       avg_rating       
--------------------+------------------------
 Welsh              |     5.0000000000000000
 Gaelic             |     4.4700000000000000
 Chinese            |     4.4564285714285714
 Turkish            |     4.4200000000000000
 Aleut              |     4.3600000000000000
 Latin              |     4.3533333333333333
 Japanese           |     4.2686956521739130
 Russian            |     4.2550000000000000
 Dutch              |     4.1800000000000000
 Multiple Languages |     4.1263157894736842
 Malay              |     4.1100000000000000
 Italian            |     4.0780000000000000
 English (Canada)   |     4.0257142857142857
 French             |     3.9716083916083916
 German             |     3.9501010101010101
 Portuguese         |     3.9450000000000000
 English            |     3.9340595171252106
 Spanish            |     3.9293119266055046
 English (UK)       |     3.9234112149532710
 English (US)       |     3.9150000000000000
 Middle English     |     3.8733333333333333
 Ancient Greek      |     3.7072727272727273
 Norwegian          |     3.6000000000000000
 Arabic             |     3.5500000000000000
 Swedish            |     3.4550000000000000
 Galician           |     3.3600000000000000
 Serbian            | 0.00000000000000000000

