             name              | total_languages 
-------------------------------+-----------------
 JK Rowling                    |               7
 Nicholas Sparks               |               6
 Roald Dahl                    |               6
 Stephen King                  |               6
 CS Lewis                      |               5
 Chuck Palahniuk               |               5
 Dan Simmons                   |               5
 Dave Eggers                   |               5
 Marian Keyes                  |               5
 Michael Crichton              |               5
 Tracy Chevalier               |               5
 Aeschylus                     |               4
 Albert Camus                  |               4
 Anne Rice                     |               4
 Aristophanes                  |               4
 Arthur Golden                 |               4
 Astrid Lindgren               |               4
 Bill Bryson                   |               4
 Charles Dickens               |               4
 Dan Brown                     |               4
 Dante Alighieri               |               4
 David Sedaris                 |               4
 EB White                      |               4
 Eoin Colfer                   |               4
 Euripides                     |               4
 Friedrich Nietzsche           |               4
 Gabriel Garca Mrquez          |               4
 Garth Williams                |               4
 Georg Wilhelm Friedrich Hegel |               4
 Gore Vidal                    |               4
 Gregory Maguire               |               4
 Hermann Hesse                 |               4
 JRR Tolkien                   |               4
 Jill Mansell                  |               4
 Jodi Picoult                  |               4
 John Irving                   |               4
 Juan Rulfo                    |               4
 Kate Atkinson                 |               4
 Laurie Notaro                 |               4
 Maeve Binchy                  |               4
 Neal Stephenson               |               4
 Neil Gaiman                   |               4
 Noam Chomsky                  |               4
 Orson Scott Card              |               4
 Oscar Wilde                   |               4
 Patrick OBrian                |               4
 Pauline Baynes                |               4
 Philip Pullman                |               4
 Reinaldo Arenas               |               4
 Roddy Doyle                   |               4
 Rumiko Takahashi              |               4
 Sandra Brown                  |               4
 Seamus Heaney                 |               4
 Simone de Beauvoir            |               4
 T Coraghessan Boyle           |               4
 Terry Brooks                  |               4
 Terry Pratchett               |               4
 Thomas Pynchon                |               4
 Umberto Eco                   |               4
 VC Andrews                    |               4
 Waris Dirie                   |               4
 Yann Martel                   |               4
 Yayoi Ogawa                   |               4
 Alan  Lee                     |               3
 Aldous Huxley                 |               3
 Alexander McCall Smith        |               3
 Alexander Pushkin             |               3
 Alice Sebold                  |               3
 Amy Tan                       |               3
 Anthony Burgess               |               3
 Anton Chekhov                 |               3
 Apollodorus                   |               3
 Aristotle                     |               3
 Arthur Koestler               |               3
 Benjamin Jowett               |               3
 Blake Nelson                  |               3
 Bret Easton Ellis             |               3
 CLAMP                         |               3
 Carolyn Meyer                 |               3
 Charles Bukowski              |               3
 Charles Burns                 |               3
 Chris L Demarest              |               3
 Chris Ware                    |               3
 Christopher Hitchens          |               3
 Chuck Klosterman              |               3
 Clive Cussler                 |               3
 Craig Thompson                |               3
 David Baldacci                |               3
 David Morrell                 |               3
 Don DeLillo                   |               3
 Douglas Clegg                 |               3
 Dr Seuss                      |               3
 Edgar Allan Poe               |               3
 Elizabeth George              |               3
 Emma McLaughlin               |               3
 Ernest Hemingway              |               3
 F Scott Fitzgerald            |               3
 Federico Garca Lorca          |               3
 Francine Pascal               |               3
 Frank Quitely                 |               3
 Franz Kafka                   |               3
 Fyodor Dostoyevsky            |               3
 Georges Simenon               |               3
 Gillen DArcy Wood             |               3
 Grant Morrison                |               3
 Ha Jin                        |               3
 Harold Bloom                  |               3
 Haruki Murakami               |               3
 Haven Kimmel                  |               3
 Henry Chadwick                |               3
 Herman Melville               |               3
 Hiromu Arakawa                |               3
 Homer                         |               3
 Iain M Banks                  |               3
 Irvin D Yalom                 |               3
 Irvine Welsh                  |               3
 Isabel Allende                |               3
 Ivo Andri                     |               3
 Jack Kerouac                  |               3
 Jack Vance                    |               3
 James   McBride               |               3
 Jane Green                    |               3
 Jane Hamilton                 |               3
 Jean M Auel                   |               3
 JeanPaul Sartre               |               3
 Jeffery Deaver                |               3
 Jennifer Crusie               |               3
 Jennifer Weiner               |               3
 Jerry B Jenkins               |               3
 Jhumpa Lahiri                 |               3
 Jo Clayton                    |               3
 Joan Didion                   |               3
 Johann Wolfgang von Goethe    |               3
 John Keegan                   |               3
 John McPhee                   |               3
 Jonathan Franzen              |               3
 Jonathan Safran Foer          |               3
 Jos Saramago                  |               3
 Joyce Carol Oates             |               3
 Junichir Tanizaki             |               3
 Kahlil Gibran                 |               3
 Kate William                  |               3
 Kay Redfield Jamison          |               3
 Kim Harrison                  |               3
 Knut Hamsun                   |               3
 Kurt Vonnegut Jr              |               3
 Lance Armstrong               |               3
 Laura Esquivel                |               3
 Laurell K Hamilton            |               3
 Lidia Matticchio Bastianich   |               3
 Lonely Planet                 |               3
 Madeleine LEngle              |               3
 Marcel Proust                 |               3
 Marguerite Duras              |               3
 Mark Twain                    |               3
 Marshall Sahlins              |               3
 Mary Pope Osborne             |               3
 Mary Wollstonecraft Shelley   |               3
 Mercedes Lackey               |               3
 Michael Tanner                |               3
 Miguel de Cervantes Saavedra  |               3
 Mitch Albom                   |               3
 Natsuo Kirino                 |               3
 Neil Strauss                  |               3
 Nicola Kraus                  |               3
 Nikolai Gogol                 |               3
 Noel Streatfeild              |               3
 Norton Juster                 |               3
 PD Eastman                    |               3
 Patrick Robinson              |               3
 Patrick Sskind                |               3
 Paul Auster                   |               3
 Paul Kemprecos                |               3
 Peter Straub                  |               3
 Philip K Dick                 |               3
 Philip Roth                   |               3
 Piers Anthony                 |               3
 Plato                         |               3
 Quentin Blake                 |               3
 Ram Dass                      |               3
 Ray Bradbury                  |               3
 Raymond E Feist               |               3
 Richard A Knaak               |               3
 Richard Alpert                |               3
 Robert Greene                 |               3
 Robert Louis Stevenson        |               3
 Robert R McCammon             |               3
 Russell Banks                 |               3
 Ruth Ozeki                    |               3
 Sally Jenkins                 |               3
 Sandra Cisneros               |               3
 Satosumi Takaguchi            |               3
 Scott McKowen                 |               3
 Shel Silverstein              |               3
 Simon Schama                  |               3
 Sinclair Lewis                |               3
 Sophocles                     |               3
 Stephen J Dubner              |               3
 Stephen Lang                  |               3
 Stephen R Donaldson           |               3
 Steve Wozniak                 |               3
 Steven D Levitt               |               3
 Sverre Lyngstad               |               3
 Tad Williams                  |               3
 Takashi Hashiguchi            |               3
 Tennessee Williams            |               3
 Terry Goodkind                |               3
 Tim LaHaye                    |               3
 Tite Kubo                     |               3
 Tom Robbins                   |               3
 Tom Stoppard                  |               3
 Toni Morrison                 |               3
 Virgil                        |               3
 Voltaire                      |               3
 Warren Ellis                  |               3
 William Goldman               |               3
 William Shakespeare           |               3
 Zadie Smith                   |               3
 sne Seierstad                 |               3
 Adam Gopnik                   |               2
 Agatha Christie               |               2
 Al Franken                    |               2
 Al Ries                       |               2
 Alain de Botton               |               2
 Alan Dean Foster              |               2
 Alan R Clarke                 |               2
 Albert Einstein               |               2
 Alcoholics Anonymous          |               2
 Alexander O Smith             |               2
 Alice   Miller                |               2
 Alice Walker                  |               2
 Amy Krouse Rosenthal          |               2
 Amy Sedaris                   |               2
 Andrew Hurley                 |               2
 Andrew J Offutt               |               2
 Andrew Solomon                |               2
 Andy Hunt                     |               2
 Angela Knight                 |               2
 Anita Diamant                 |               2
 Anita Shreve                  |               2
 Ann Beattie                   |               2
 Ann Charters                  |               2
 Ann M Martin                  |               2
 AnnMarie MacDonald            |               2
 Anna Maxted                   |               2
 Anna Sewell                   |               2
 Anne Mazer                    |               2
 Anne McCaffrey                |               2
 Anne Tyler                    |               2
 Annie Dillard                 |               2
 Ansel Adams                   |               2
 Anthony Bourdain              |               2
 Anthony Cronin                |               2
 Anthony Grafton               |               2
 Anthony H Chambers            |               2
 Anthony Heald                 |               2
 Anthony Loyd                  |               2
 Antoine de SaintExupry        |               2
 Anya Seton                    |               2
 Arkangel Cast                 |               2
 Arlene Eisenberg              |               2
 Armistead Maupin              |               2
 Arthur  Miller                |               2
 Arthur Conan Doyle            |               2
 Arthur M Schlesinger Jr       |               2
 Arthur Pober                  |               2
 Arturo PrezReverte            |               2
 Aubrey de Slincourt           |               2
 Audrey Niffenegger            |               2
 Augusten Burroughs            |               2
 Avi                           |               2
 Ayn Rand                      |               2
 Barack Obama                  |               2
 Barbara Bray                  |               2
 Barbara Ehrenreich            |               2
 Barbara Park                  |               2
 Barbara Taylor Bradford       |               2
 Barrett Whitener              |               2
 Beatrix Potter                |               2
 Beau Bridges                  |               2
 Bernard Cornwell              |               2
 Bernard Malamud               |               2
 Bernard Williams              |               2
 Bernie Wrightson              |               2
 Bill Brown                    |               2
 Bill Hybels                   |               2
 Bill Maher                    |               2
 Bill Phillips                 |               2
 Billy Crystal                 |               2
 Blair Brown                   |               2
 Brendan DuBois                |               2
 Brian Ajhar                   |               2
 Brian Greene                  |               2
 Brian Herbert                 |               2
 Brian Jacques                 |               2
 Brian Selznick                |               2
 Brian Sibley                  |               2
 Burton G Malkiel              |               2
 CF Smith                      |               2
 CJ Cherryh                    |               2
 CJ Critt                      |               2
 CK Scott Moncrieff            |               2
 CS Friedman                   |               2
 Cait London                   |               2
 Carl Hiaasen                  |               2
 Carlos Castaeda               |               2
 Carlos Ruiz Zafn              |               2
 Carol Cosman                  |               2
 Carol Higgins Clark           |               2
 Carol Shields                 |               2
 Carol Stock Kranowitz         |               2
 Caroline B Cooney             |               2
 Carolyn Keene                 |               2
 Carolyn McCormick             |               2
 Catherine Coulter             |               2
 Cecily von Ziegesar           |               2
 Celeste Bradley               |               2
 Charles Baudelaire            |               2
 Charles Darwin                |               2
 Charles E Wilbour             |               2
 Charles Mackay                |               2
 Charles R Swindoll            |               2
 Charles Segal                 |               2
 Charles Stross                |               2
 Charlie Huston                |               2
 Charlie ONeill                |               2
 Charlotte Bront               |               2
 Charlton Heston               |               2
 Chiho Saito                   |               2
 Chip Kidd                     |               2
 Chris Manby                   |               2
 Chris Sheban                  |               2
 Christina Schwarz             |               2
 Christina Scull               |               2
 Christophe Claro              |               2
 Christopher Golden            |               2
 Christopher Hirsheimer        |               2
 Christopher Isherwood         |               2
 Christopher Marlowe           |               2
 Christopher Moore             |               2
 Christopher Stasheff          |               2
 Christopher Tolkien           |               2
 CliffsNotes                   |               2
 Colin Duriez                  |               2
 Colin Wilson                  |               2
 Colleen McCullough            |               2
 Connie Willis                 |               2
 Conor McPherson               |               2
 Constance Garnett             |               2
 Cormac McCarthy               |               2
 Cornelia Funke                |               2
 Cory Doctorow                 |               2
 Craig Dirgo                   |               2
 Cynthia HarrodEagles          |               2
 DH Lawrence                   |               2
 DIsraeli                      |               2
 Dai Sijie                     |               2
 Dale Carnegie                 |               2
 Dale Peck                     |               2
 Dale Peterson                 |               2
 Dan Andreasen                 |               2
 Dan Millman                   |               2
 Dan Savage                    |               2
 Daniel C Dennett              |               2
 Daniel Clowes                 |               2
 Daniel Defoe                  |               2
 Daniel Halpern                |               2
 Daniel Jonah Goldhagen        |               2
 Daniel Keyes                  |               2
 Daniel Pinchbeck              |               2
 Daniel Stashower              |               2
 Daniel Vozzo                  |               2
 Danielle Steel                |               2
 Daphne du Maurier             |               2
 Dave McKean                   |               2
 Dave Thomas                   |               2
 David    Allen                |               2
 David  Luke                   |               2
