                                             title                                             | language_name  
-----------------------------------------------------------------------------------------------+----------------
 Shield of Thunder (Troy  #2)                                                                  | Aleut
 Zaat                                                                                          | Arabic
 Vergeef me                                                                                    | Dutch
 Harry Potter and the Philosopher's Stone (Harry Potter  #1)                                   | Gaelic
 Os libros arden mal                                                                           | Galician
 Cattus Petasatus: The Cat in the Hat in Latin                                                 | Latin
 Harrius Potter et Camera Secretorum                                                           | Latin
 Harrius Potter et Philosophi Lapis                                                            | Latin
 Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha)                                          | Malay
 The Canterbury Tales (original-spelling edition)                                              | Middle English
 The Canterbury Tales: Fifteen Tales and the General Prologue                                  | Middle English
 The Riverside Chaucer                                                                         | Middle English
 In Wonderland                                                                                 | Norwegian
 The Overcoat and Other Short Stories                                                          | Russian
 Мастер и Маргарита                                                                            | Russian
 Venac sonetnih venaca; Puževa srma                                                            | Serbian
 The Return of the Dancing Master                                                              | Swedish
 Verserade tankar                                                                              | Swedish
 Harry Potter ve Sırlar Odası (Harry Potter  #2)                                               | Turkish
 Delwau Duon: Peintiadau Nicholas Evans = Symphonies in Black: The Paintings of Nicholas Evans | Welsh

